sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2016,58.95,4
Both sexes,National Total,Activity rate,2016,59.28,3
Both sexes,National Total,Activity rate,2016,59.41,2
Both sexes,National Total,Activity rate,2016,59.29,1
Both sexes,National Total,Unemployment rate,2016,18.63,4
Both sexes,National Total,Unemployment rate,2016,18.91,3
Both sexes,National Total,Unemployment rate,2016,20,2
Both sexes,National Total,Unemployment rate,2016,21,1
Both sexes,National Total,Employment rate,2016,47.97,4
Both sexes,National Total,Employment rate,2016,48.07,3
Both sexes,National Total,Employment rate,2016,47.53,2
Both sexes,National Total,Employment rate,2016,46.84,1
Both sexes,02 Albacete,Activity rate,2016,56.01,4
Both sexes,02 Albacete,Activity rate,2016,54.14,3
Both sexes,02 Albacete,Activity rate,2016,56.84,2
Both sexes,02 Albacete,Activity rate,2016,56.19,1
Both sexes,02 Albacete,Unemployment rate,2016,23.31,4
Both sexes,02 Albacete,Unemployment rate,2016,23.06,3
Both sexes,02 Albacete,Unemployment rate,2016,24.27,2
Both sexes,02 Albacete,Unemployment rate,2016,24.67,1
Both sexes,02 Albacete,Employment rate,2016,42.96,4
Both sexes,02 Albacete,Employment rate,2016,41.65,3
Both sexes,02 Albacete,Employment rate,2016,43.05,2
Both sexes,02 Albacete,Employment rate,2016,42.33,1
Both sexes,03 Alicante/Alacant,Activity rate,2016,58.59,4
Both sexes,03 Alicante/Alacant,Activity rate,2016,59.74,3
Both sexes,03 Alicante/Alacant,Activity rate,2016,60.44,2
Both sexes,03 Alicante/Alacant,Activity rate,2016,58.02,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2016,18.21,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2016,18.61,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2016,22.74,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2016,23.62,1
Both sexes,03 Alicante/Alacant,Employment rate,2016,47.93,4
Both sexes,03 Alicante/Alacant,Employment rate,2016,48.62,3
Both sexes,03 Alicante/Alacant,Employment rate,2016,46.7,2
Both sexes,03 Alicante/Alacant,Employment rate,2016,44.31,1
Both sexes,04 Almería,Activity rate,2016,61.37,4
Both sexes,04 Almería,Activity rate,2016,60.44,3
Both sexes,04 Almería,Activity rate,2016,59,2
Both sexes,04 Almería,Activity rate,2016,59.42,1
Both sexes,04 Almería,Unemployment rate,2016,24.84,4
Both sexes,04 Almería,Unemployment rate,2016,22.65,3
Both sexes,04 Almería,Unemployment rate,2016,22.45,2
Both sexes,04 Almería,Unemployment rate,2016,24.39,1
Both sexes,04 Almería,Employment rate,2016,46.13,4
Both sexes,04 Almería,Employment rate,2016,46.75,3
Both sexes,04 Almería,Employment rate,2016,45.76,2
Both sexes,04 Almería,Employment rate,2016,44.93,1
Both sexes,01 Araba/Álava,Activity rate,2016,58.85,4
Both sexes,01 Araba/Álava,Activity rate,2016,58.16,3
Both sexes,01 Araba/Álava,Activity rate,2016,57.86,2
Both sexes,01 Araba/Álava,Activity rate,2016,58.86,1
Both sexes,01 Araba/Álava,Unemployment rate,2016,11.97,4
Both sexes,01 Araba/Álava,Unemployment rate,2016,12.16,3
Both sexes,01 Araba/Álava,Unemployment rate,2016,13.11,2
Both sexes,01 Araba/Álava,Unemployment rate,2016,10.71,1
Both sexes,01 Araba/Álava,Employment rate,2016,51.8,4
Both sexes,01 Araba/Álava,Employment rate,2016,51.09,3
Both sexes,01 Araba/Álava,Employment rate,2016,50.27,2
Both sexes,01 Araba/Álava,Employment rate,2016,52.56,1
Both sexes,33 Asturias,Activity rate,2016,50.9,4
Both sexes,33 Asturias,Activity rate,2016,52.36,3
Both sexes,33 Asturias,Activity rate,2016,52.12,2
