national_total,autonomous_communities_and_cities,index_type,indices_and_rates,year,total,quarter
Nacional,,General,Index,2016,105.848,4
Nacional,,General,Index,2016,105.431,3
Nacional,,General,Index,2016,104.601,2
Nacional,,General,Index,2016,102.775,1
Nacional,,General,Quarterly variation rate,2016,0.4,4
Nacional,,General,Quarterly variation rate,2016,0.8,3
Nacional,,General,Quarterly variation rate,2016,1.8,2
Nacional,,General,Quarterly variation rate,2016,1.5,1
Nacional,,General,Annual variation,2016,4.5,4
Nacional,,General,Annual variation,2016,4.0,3
Nacional,,General,Annual variation,2016,3.9,2
Nacional,,General,Annual variation,2016,6.3,1
Nacional,,General,Year-to-date variation rate,2016,4.5,4
Nacional,,General,Year-to-date variation rate,2016,4.1,3
Nacional,,General,Year-to-date variation rate,2016,3.3,2
Nacional,,General,Year-to-date variation rate,2016,1.5,1
Nacional,,New dwelling,Index,2016,106.098,4
Nacional,,New dwelling,Index,2016,107.605,3
Nacional,,New dwelling,Index,2016,108.105,2
Nacional,,New dwelling,Index,2016,104.284,1
Nacional,,New dwelling,Quarterly variation rate,2016,-1.4,4
Nacional,,New dwelling,Quarterly variation rate,2016,-0.5,3
Nacional,,New dwelling,Quarterly variation rate,2016,3.7,2
Nacional,,New dwelling,Quarterly variation rate,2016,2.6,1
Nacional,,New dwelling,Annual variation,2016,4.3,4
Nacional,,New dwelling,Annual variation,2016,7.3,3
Nacional,,New dwelling,Annual variation,2016,8.4,2
Nacional,,New dwelling,Annual variation,2016,6.1,1
Nacional,,New dwelling,Year-to-date variation rate,2016,4.3,4
Nacional,,New dwelling,Year-to-date variation rate,2016,5.8,3
Nacional,,New dwelling,Year-to-date variation rate,2016,6.3,2
Nacional,,New dwelling,Year-to-date variation rate,2016,2.6,1
Nacional,,Second-hand dwelling,Index,2016,105.803,4
Nacional,,Second-hand dwelling,Index,2016,105.084,3
Nacional,,Second-hand dwelling,Index,2016,104.045,2
Nacional,,Second-hand dwelling,Index,2016,102.533,1
Nacional,,Second-hand dwelling,Quarterly variation rate,2016,0.7,4
Nacional,,Second-hand dwelling,Quarterly variation rate,2016,1.0,3
Nacional,,Second-hand dwelling,Quarterly variation rate,2016,1.5,2
Nacional,,Second-hand dwelling,Quarterly variation rate,2016,1.3,1
Nacional,,Second-hand dwelling,Annual variation,2016,4.5,4
Nacional,,Second-hand dwelling,Annual variation,2016,3.5,3
Nacional,,Second-hand dwelling,Annual variation,2016,3.2,2
Nacional,,Second-hand dwelling,Annual variation,2016,6.4,1
Nacional,,Second-hand dwelling,Year-to-date variation rate,2016,4.5,4
Nacional,,Second-hand dwelling,Year-to-date variation rate,2016,3.8,3
Nacional,,Second-hand dwelling,Year-to-date variation rate,2016,2.8,2
Nacional,,Second-hand dwelling,Year-to-date variation rate,2016,1.3,1
Nacional,01 Andalucía,General,Index,2016,103.142,4
Nacional,01 Andalucía,General,Index,2016,103.113,3
Nacional,01 Andalucía,General,Index,2016,103.201,2
Nacional,01 Andalucía,General,Index,2016,101.91,1
Nacional,01 Andalucía,General,Quarterly variation rate,2016,0.0,4
Nacional,01 Andalucía,General,Quarterly variation rate,2016,-0.1,3
Nacional,01 Andalucía,General,Quarterly variation rate,2016,1.3,2
Nacional,01 Andalucía,General,Quarterly variation rate,2016,0.9,1
Nacional,01 Andalucía,General,Annual variation,2016,2.1,4
Nacional,01 Andalucía,General,Annual variation,2016,1.4,3
Nacional,01 Andalucía,General,Annual variation,2016,2.6,2
Nacional,01 Andalucía,General,Annual variation,2016,5.5,1
Nacional,01 Andalucía,General,Year-to-date variation rate,2016,2.1,4
Nacional,01 Andalucía,General,Year-to-date variation rate,2016,2.1,3
Nacional,01 Andalucía,General,Year-to-date variation rate,2016,2.1,2
Nacional,01 Andalucía,General,Year-to-date variation rate,2016,0.9,1
Nacional,01 Andalucía,New dwelling,Index,2016,106.75,4
Nacional,01 Andalucía,New dwelling,Index,2016,107.653,3
Nacional,01 Andalucía,New dwelling,Index,2016,109.103,2
Nacional,01 Andalucía,New dwelling,Index,2016,104.833,1
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2016,-0.8,4
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2016,-1.3,3
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2016,4.1,2
Nacional,01 Andalucía,New dwelling,Quarterly variation rate,2016,2.8,1
Nacional,01 Andalucía,New dwelling,Annual variation,2016,4.7,4
Nacional,01 Andalucía,New dwelling,Annual variation,2016,7.5,3
Nacional,01 Andalucía,New dwelling,Annual variation,2016,8.6,2
Nacional,01 Andalucía,New dwelling,Annual variation,2016,7.7,1
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2016,4.7,4
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2016,5.5,3
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2016,7.0,2
Nacional,01 Andalucía,New dwelling,Year-to-date variation rate,2016,2.8,1
Nacional,01 Andalucía,Second-hand dwelling,Index,2016,102.65,4
Nacional,01 Andalucía,Second-hand dwelling,Index,2016,102.498,3
Nacional,01 Andalucía,Second-hand dwelling,Index,2016,102.405,2
Nacional,01 Andalucía,Second-hand dwelling,Index,2016,101.51,1
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2016,0.1,4
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2016,0.1,3
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2016,0.9,2
Nacional,01 Andalucía,Second-hand dwelling,Quarterly variation rate,2016,0.6,1
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2016,1.7,4
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2016,0.5,3
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2016,1.8,2
Nacional,01 Andalucía,Second-hand dwelling,Annual variation,2016,5.2,1
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2016,1.7,4
Nacional,01 Andalucía,Second-hand dwelling,Year-to-date variation rate,2016,1.6,3
