autonomous_communities_and_cities,index_type,year,total
Nacional,General,2021,100.0
Nacional,New dwelling,2021,17.359
Nacional,Second-hand dwelling,2021,82.641
01 Andalucía,General,2021,100.0
01 Andalucía,New dwelling,2021,17.165
01 Andalucía,Second-hand dwelling,2021,82.835
02 Aragón,General,2021,100.0
02 Aragón,New dwelling,2021,24.124
02 Aragón,Second-hand dwelling,2021,75.876
03 Asturias. Principado de,General,2021,100.0
03 Asturias. Principado de,New dwelling,2021,15.073
03 Asturias. Principado de,Second-hand dwelling,2021,84.927
04 Balears. Illes,General,2021,100.0
04 Balears. Illes,New dwelling,2021,10.753
04 Balears. Illes,Second-hand dwelling,2021,89.247
05 Canarias,General,2021,100.0
05 Canarias,New dwelling,2021,8.29
05 Canarias,Second-hand dwelling,2021,91.71
06 Cantabria,General,2021,100.0
06 Cantabria,New dwelling,2021,14.779
06 Cantabria,Second-hand dwelling,2021,85.221
07 Castilla y León,General,2021,100.0
07 Castilla y León,New dwelling,2021,14.611
07 Castilla y León,Second-hand dwelling,2021,85.389
08 Castilla - La Mancha,General,2021,100.0
08 Castilla - La Mancha,New dwelling,2021,15.912
08 Castilla - La Mancha,Second-hand dwelling,2021,84.088
09 Cataluña,General,2021,100.0
09 Cataluña,New dwelling,2021,12.282
09 Cataluña,Second-hand dwelling,2021,87.718
10 Comunitat Valenciana,General,2021,100.0
10 Comunitat Valenciana,New dwelling,2021,17.465
10 Comunitat Valenciana,Second-hand dwelling,2021,82.535
11 Extremadura,General,2021,100.0
11 Extremadura,New dwelling,2021,6.8
11 Extremadura,Second-hand dwelling,2021,93.2
12 Galicia,General,2021,100.0
12 Galicia,New dwelling,2021,12.49
12 Galicia,Second-hand dwelling,2021,87.51
13 Madrid. Comunidad de,General,2021,100.0
13 Madrid. Comunidad de,New dwelling,2021,23.843
13 Madrid. Comunidad de,Second-hand dwelling,2021,76.157
14 Murcia. Región de,General,2021,100.0
14 Murcia. Región de,New dwelling,2021,12.548
14 Murcia. Región de,Second-hand dwelling,2021,87.452
15 Navarra. Comunidad Foral de,General,2021,100.0
15 Navarra. Comunidad Foral de,New dwelling,2021,31.874
15 Navarra. Comunidad Foral de,Second-hand dwelling,2021,68.126
16 País Vasco,General,2021,100.0
16 País Vasco,New dwelling,2021,22.174
16 País Vasco,Second-hand dwelling,2021,77.826
17 Rioja. La,General,2021,100.0
17 Rioja. La,New dwelling,2021,8.463
17 Rioja. La,Second-hand dwelling,2021,91.537
18 Ceuta,General,2021,
18 Ceuta,New dwelling,2021,
18 Ceuta,Second-hand dwelling,2021,
19 Melilla,General,2021,
19 Melilla,New dwelling,2021,
19 Melilla,Second-hand dwelling,2021,
