Sex;Provinces;Rates;Periodo;Total
Both sexes;National Total;Activity rate;2023QII;58.97
Both sexes;National Total;Activity rate;2023QI;58.55
Both sexes;National Total;Activity rate;2022QIV;58.52
Both sexes;National Total;Activity rate;2022QIII;58.86
Both sexes;National Total;Activity rate;2022QII;58.71
Both sexes;National Total;Activity rate;2022QI;58.5
Both sexes;National Total;Activity rate;2021QIV;58.65
Both sexes;National Total;Activity rate;2021QIII;59.14
Both sexes;National Total;Activity rate;2021QII;58.58
Both sexes;National Total;Activity rate;2021QI;57.69
Both sexes;National Total;Activity rate;2020QIV;58.19
Both sexes;National Total;Activity rate;2020QIII;57.83
Both sexes;National Total;Activity rate;2020QII;55.54
Both sexes;National Total;Activity rate;2020QI;58.18
Both sexes;National Total;Activity rate;2019QIV;58.74
Both sexes;National Total;Activity rate;2019QIII;58.72
Both sexes;National Total;Activity rate;2019QII;58.74
Both sexes;National Total;Activity rate;2019QI;58.35
Both sexes;National Total;Activity rate;2018QIV;58.61
Both sexes;National Total;Activity rate;2018QIII;58.73
Both sexes;National Total;Activity rate;2018QII;58.8
Both sexes;National Total;Activity rate;2018QI;58.46
Both sexes;National Total;Activity rate;2017QIV;58.8
Both sexes;National Total;Activity rate;2017QIII;58.92
Both sexes;National Total;Activity rate;2017QII;58.84
Both sexes;National Total;Activity rate;2017QI;58.78
Both sexes;National Total;Activity rate;2016QIV;58.95
Both sexes;National Total;Activity rate;2016QIII;59.28
Both sexes;National Total;Activity rate;2016QII;59.41
Both sexes;National Total;Activity rate;2016QI;59.29
Both sexes;National Total;Activity rate;2015QIV;59.43
Both sexes;National Total;Activity rate;2015QIII;59.5
Both sexes;National Total;Activity rate;2015QII;59.79
Both sexes;National Total;Activity rate;2015QI;59.45
Both sexes;National Total;Activity rate;2014QIV;59.77
Both sexes;National Total;Activity rate;2014QIII;59.53
Both sexes;National Total;Activity rate;2014QII;59.63
Both sexes;National Total;Activity rate;2014QI;59.46
Both sexes;National Total;Activity rate;2013QIV;59.86
Both sexes;National Total;Activity rate;2013QIII;60.04
Both sexes;National Total;Activity rate;2013QII;60
Both sexes;National Total;Activity rate;2013QI;60.18
Both sexes;National Total;Activity rate;2012QIV;60.23
Both sexes;National Total;Activity rate;2012QIII;60.55
Both sexes;National Total;Activity rate;2012QII;60.5
Both sexes;National Total;Activity rate;2012QI;60.31
Both sexes;National Total;Activity rate;2011QIV;60.29
Both sexes;National Total;Activity rate;2011QIII;60.44
Both sexes;National Total;Activity rate;2011QII;60.44
Both sexes;National Total;Activity rate;2011QI;60.16
Both sexes;National Total;Activity rate;2010QIV;60.25
Both sexes;National Total;Activity rate;2010QIII;60.37
Both sexes;National Total;Activity rate;2010QII;60.41
Both sexes;National Total;Activity rate;2010QI;60.09
Both sexes;National Total;Activity rate;2009QIV;59.99
Both sexes;National Total;Activity rate;2009QIII;60.05
Both sexes;National Total;Activity rate;2009QII;60.3
Both sexes;National Total;Activity rate;2009QI;60.39
Both sexes;National Total;Activity rate;2008QIV;60.35
Both sexes;National Total;Activity rate;2008QIII;60.23
Both sexes;National Total;Activity rate;2008QII;60.07
Both sexes;National Total;Activity rate;2008QI;59.67
Both sexes;National Total;Activity rate;2007QIV;59.47
Both sexes;National Total;Activity rate;2007QIII;59.5
Both sexes;National Total;Activity rate;2007QII;59.23
Both sexes;National Total;Activity rate;2007QI;58.9
Both sexes;National Total;Activity rate;2006QIV;58.88
Both sexes;National Total;Activity rate;2006QIII;58.74
Both sexes;National Total;Activity rate;2006QII;58.63
Both sexes;National Total;Activity rate;2006QI;58.3
Both sexes;National Total;Activity rate;2005QIV;58.08
Both sexes;National Total;Activity rate;2005QIII;57.86
